Id,country,region,city,postalCode,latitude,longitude,metroCode,areaCode
2021,IN,39,Jaspur,,29.2833,78.8167,,
2022,IN,2,Narasapur,,16.45,81.6667,,
2023,IN,25,Porayar,,11.0167,79.8333,,
2024,IN,36,Barla,,27.9167,78.3333,,
2025,IN,9,Viramgam,,23.1167,72.0333,,
2026,IN,37,Akaltara,,22.0167,82.4333,,
2027,IN,2,Palasa,,18.7667,84.4167,,
2028,IN,23,Jallan,,30.6997,76.0574,,
2029,IN,9,Dhoraji,,21.7333,70.45,,
2030,IN,9,Vallabh Vidhyanagar,,22.5333,72.9,,
2031,IN,28,Calcutta Ballygunge,,22.5333,88.3667,,
2032,IN,16,Vairag,,18.05,75.8,,
2033,IN,13,Tanur,,10.9667,75.8667,,
2034,IN,36,Daryapur,,26.65,80.6,,
2035,IN,13,Thanniyam,,10.4167,76.1333,,
2036,IN,10,Khandsa,,28.4167,77,,
2037,IN,7,Samalkha,,28.5333,77.0833,,
2038,IN,23,Chanarthal,,30.5194,76.3456,,
2039,IN,23,Ghanaur,,30.3322,76.6072,,
2040,IN,28,Salbanni,,23.0667,86.2667,,
2041,IN,9,Balamba,,22.7167,70.4333,,
2042,IN,7,Kalkaji Devi,,28.55,77.2667,,
2043,IN,7,Fort Tughlakabad,,28.5,77.2667,,
2044,IN,19,Sarjapur,,12.8167,77.7833,,
2045,IN,10,Asaudah,,28.7514,76.8731,,
2046,IN,9,Walan,,21.95,73.0833,,
2047,IN,9,Desar,,22.7167,73.2833,,
2048,IN,25,Murtinayakkanpatti,,11.3,78.1333,,
2049,IN,23,Bhindar,,31.5333,75.1833,,
2050,IN,28,Sarisha,,22.2419,88.1878,,
2051,IN,28,Ondal,,23.6,87.2,,
2052,IN,10,Hodal,,27.9,77.3667,,
2053,IN,24,Sojat,,25.9167,73.6667,,
2054,IN,21,Baisinga,,21.6519,86.9364,,
2055,IN,16,Diva,,19.1333,72.9833,,
2056,IN,10,Sampla,,28.7764,76.7667,,
2057,IN,28,Namchi,,27.1667,88.35,,
